Reporting Customer,Parent Customer/Project: Company Name,Customer,Transaction Type,Document Number,P.O. No.,Date,Due Date,Age,Bucket,Amount (Gross),Open Balance,Gross vs Amt Due,Email,Email 2,Sales Channel: Name,Memo,Terms: Name,Sales Rep: Name,Transaction Reason,Channel Clean,Snapshot Date
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841297,03806005SCANBFARM | BRISTOL FARMS,2026-04-27,2026-05-28,46,31-60,1932.0,1932.0,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | CK 327377 | PYMT99952,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841298,SASW25210128,2026-04-27,2026-05-28,46,31-60,6795.64,6795.64,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Price protection | CK 327377 | PYMT99952,"2% 15, Net 30",Kristen Springer,Price Protection,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841299,038055013PTYNATGROC | NATURAL GROCERS,2026-04-27,2026-05-28,46,31-60,733.5,733.5,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,CoOp | CK 327377 | PYMT99952,"2% 15, Net 30",Kristen Springer,CoOp,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841300,KGFSR0326A45234CANH | KROGER,2026-04-27,2026-05-28,46,31-60,277.31,277.31,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Placement | CK 327377 | PYMT99952,"2% 15, Net 30",Kristen Springer,Placements,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841312,CK 345604 | PYMT99947,2026-04-27,2026-05-28,46,31-60,60.15,60.15,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Cash Discount | INV837254,"2% 15, Net 30",Kristen Springer,Cash Discount,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841313,CK 345604 | PYMT99947,2026-04-27,2026-05-28,46,31-60,60.15,60.15,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Cash Discount | INV837256,"2% 15, Net 30",Kristen Springer,Cash Discount,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841318,CK 345604 | PYMT99947,2026-04-27,2026-05-28,46,31-60,1165.29,1165.29,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage | INV837275,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841319,CK 345604 | PYMT99947,2026-04-27,2026-05-28,46,31-60,1276.27,1276.27,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage | INV837274,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841320,CK 345604 | PYMT99947,2026-04-27,2026-05-28,46,31-60,182.25,182.25,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | WE032826045234CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841321,CK 345604 | PYMT99947,2026-04-27,2026-05-28,46,31-60,244.84,244.84,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Placements | FSRTFMC032645234CANH | The Fresh Market,"2% 15, Net 30",Kristen Springer,Placements,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841322,CK 345604 | PYMT99947,2026-04-27,2026-05-28,46,31-60,1489.25,1489.25,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | A305069,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841323,CK 345604 | PYMT99947,2026-04-27,2026-05-28,46,31-60,1794.86,1794.86,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,CoOp | 018069093PTYTFM | The Fresh Market,"2% 15, Net 30",Kristen Springer,CoOp,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV841324,CK 323446 | PYMT99522,2026-04-27,2026-05-28,46,31-60,10.84,10.84,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,CoOp | INV813623SSA,"2% 15, Net 30",Kristen Springer,CoOp,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842603,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,171.5,171.5,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |KG8149997A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842604,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,239.5,239.5,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |KG8121780A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842605,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,241.25,241.25,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |KG8082726A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842606,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,350.18,350.18,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |BASHAS20421308 | Basha's,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842607,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,360.52,360.52,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |KG8236065A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842608,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,397.32,397.32,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |KG8193096A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842609,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,405.76,405.76,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |MCB20260411CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842610,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,585.6,585.6,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage |044870189,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842611,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,622.2,622.2,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage |054973043,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842612,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,983.51,983.51,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |MCB20260418CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842613,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,1120.08,1120.08,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage |PRGX2550435,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842614,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,1572.48,1572.48,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage |PRGX2550434,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842615,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,2300.58,2300.58,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate |MCB20260425CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842616,CK 331024 | PYMT100290,2026-04-30,2026-05-31,43,31-60,3939.54,3939.54,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage |PLCMAR26A45234,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842617,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,20.86,20.86,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | INV836454SP,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842618,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,39.28,39.28,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Cash Discount | INV839432,"2% 15, Net 30",Kristen Springer,Cash Discount,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842619,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,40.51,40.51,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Cash Discount | INV837823,"2% 15, Net 30",Kristen Springer,Cash Discount,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842620,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,70.0,70.0,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | 018256313PTYAHOLD,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842621,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,72.43,72.43,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Cash Discount | INV839434,"2% 15, Net 30",Kristen Springer,Cash Discount,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842622,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,82.0,82.0,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | 018301413PTYAHOLD,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842624,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,198.49,198.49,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | GPSPLS00110881QCM,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842625,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,373.75,373.75,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | 018359663PTYTFM  |The Fresh market,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842626,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,405.24,405.24,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | WE041126045234CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842630,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,512.9,512.9,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | 018301423PTYAHOLD,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842631,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,591.1,591.1,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | 018256323PTYAHOLD,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842632,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,684.31,684.31,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | WE040426045234CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842633,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,958.0,958.0,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Freight | SASIF20260845234,"2% 15, Net 30",Kristen Springer,Freight,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842634,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,985.49,985.49,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Placements | WFMMAR2645234ISEGRA | Whole Foods,"2% 15, Net 30",Kristen Springer,Placements,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842635,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,1440.63,1440.63,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | WE041826045234CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842636,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,2322.76,2322.76,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | CMQ040426045234CANH,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842637,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,3276.35,3276.35,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | A306094,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842638,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,3343.75,3343.75,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Placements | WFMMAR2645234ISEGRB | Whole Foods,"2% 15, Net 30",Kristen Springer,Placements,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV842639,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,4145.58,4145.58,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | Overpull -  01OVP0326045234CANH,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Invoice,INV842641,CK 349271 | PYMT100291,2026-04-30,2026-05-31,43,31-60,5974.76,5974.76,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Holdback | INV831410PP,"2% 15, Net 30",Kristen Springer,Holdback,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843156,ACH 322271627 | PYMT100339,2026-05-01,2026-06-01,42,31-60,6195.28,6195.28,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | A307584,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843157,ACH 322271627 | PYMT100339,2026-05-01,2026-06-01,42,31-60,1787.1,1787.1,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | A307585,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843089,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,110.0,110.0,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8156326A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843090,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,229.75,229.75,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8291987A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843091,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,318.98,318.98,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8491021A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843092,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,366.28,366.28,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8304778A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843093,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,403.36,403.36,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8265393A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843094,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,518.58,518.58,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8461039A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843095,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,598.63,598.63,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8428990A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843096,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,816.45,816.45,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8376576A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843097,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,822.03,822.03,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | KG8357992A45234CANH | Kroger,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843098,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,3680.45,3680.45,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | MCB20260502CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843099,CK 331918 | PYMT100404,2026-05-06,2026-06-06,37,31-60,2013.29,2013.29,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,CoOp | SSAW00977CANH,"2% 15, Net 30",Kristen Springer,CoOp,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843100,CK 350147 | PYMT100403,2026-05-06,2026-06-06,37,31-60,117.99,117.99,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Freight | ERFOI0426045234,"2% 15, Net 30",Kristen Springer,Freight,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843101,CK 350147 | PYMT100403,2026-05-06,2026-06-06,37,31-60,566.07,566.07,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,CoOp | SSAE00977CANH,"2% 15, Net 30",Kristen Springer,CoOp,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843102,CK 350147 | PYMT100403,2026-05-06,2026-06-06,37,31-60,704.85,704.85,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | WE042526045234CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843103,CK 350147 | PYMT100403,2026-05-06,2026-06-06,37,31-60,2049.1,2049.1,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Freight | FBB0426ER45234,"2% 15, Net 30",Kristen Springer,Freight,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843552,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,1500.0,1500.0,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Marketing | ERDC0426045234,"2% 15, Net 30",Kristen Springer,Marketing,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843553,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,2134.75,2134.75,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | WE050226045234CANH,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843554,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,27960.66,27960.66,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | 01OVP0426045234CANH,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843563,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,1644.0,1644.0,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Spoilage | CMQ050226045234CANH,"2% 15, Net 30",Kristen Springer,Spoilage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843564,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,5611.61,5611.61,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Rebate | 018451823PTYTFM,"2% 15, Net 30",Kristen Springer,Rebate,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843565,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,208.68,208.68,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage | INV840023,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843566,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,1748.17,1748.17,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage | INV840033,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843567,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,3912.75,3912.75,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage | INV840686,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843568,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,5945.94,5945.94,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage | PRGX2500180,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV843569,CK 351954 | PYMT100509,2026-05-15,2026-06-15,28,15-30,8738.48,8738.48,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,CoOp | SSAE03314CANH,"2% 15, Net 30",Kristen Springer,CoOp,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV844102,CK 334487 | PYMT100576,2026-05-21,2026-06-21,22,15-30,192.24,192.24,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Shortage | INV842037,"2% 15, Net 30",Kristen Springer,Shortage,Grocery Distributor,2026-07-13
UNFI - United Natural Foods Inc.,,CW097350 UNFI - United Natural Foods Inc.,Chargeback,INV844103,CK 334487 | PYMT100576,2026-05-21,2026-06-21,22,15-30,277.31,277.31,0.0,UNFIAPinvoices@unfi.com,,Grocery Distributor,Placements | KGFSR042645234CANH  | Kroger,"2% 15, Net 30",Kristen Springer,Placements,Grocery Distributor,2026-07-13
